     1     -1   4575 2.850000E-006 2.850000E-006 5.700000E-006 2.314912E-017 0.000000E+000
     2   4556      0 8.550000E-006 8.550000E-006 4.030509E-006 9.259650E-017 0.000000E+000
     3     -1   4550 2.850000E-006 2.850000E-006 4.030509E-006 9.259650E-017 0.000000E+000
     4     -1   4537 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
     5   4499      0 6.981046E-006 6.981046E-006 2.850000E-006 2.314912E-017 0.000000E+000
     6     -1   4492 2.332826E-005 2.332826E-005 8.550000E-006 2.314912E-017 0.000000E+000
     7     -1   4481 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
     8   4443      0 6.372794E-006 6.372794E-006 2.850000E-006 2.314912E-017 0.000000E+000
     9     -1   4434 2.850000E-006 2.850000E-006 1.425000E-005 6.713246E-016 0.000000E+000
    10   4433      0 4.030509E-006 4.030509E-006 2.850000E-006 2.314912E-017 0.000000E+000
    11   4432      0 4.936345E-006 4.936345E-006 2.850000E-006 2.314912E-017 0.000000E+000
    12   4426      0 1.040330E-005 1.040330E-005 2.850000E-006 2.314912E-017 0.000000E+000
    13     -1   4389 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
    14   4386      0 1.471249E-005 1.471249E-005 2.850000E-006 2.314912E-017 0.000000E+000
    15   4375      0 1.040330E-005 1.040330E-005 2.850000E-006 2.314912E-017 0.000000E+000
    16     -1   4373 1.492279E-005 1.492279E-005 2.850000E-006 2.314912E-017 0.000000E+000
    17   4311      0 2.850000E-006 2.850000E-006 5.700000E-006 2.083421E-016 0.000000E+000
    18     -1   4298 2.850000E-006 2.850000E-006 5.700000E-006 2.083421E-016 0.000000E+000
    19   4286      0 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
    20   4281      0 4.030509E-006 4.030509E-006 2.850000E-006 2.314912E-017 0.000000E+000
    21     -1   4259 4.671809E-005 4.671809E-005 2.850000E-006 2.314912E-017 0.000000E+000
    22     -1   4233 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
    23   4232      0 6.372794E-006 6.372794E-006 2.850000E-006 2.314912E-017 0.000000E+000
    24     -1   4214 2.850000E-006 2.850000E-006 1.425000E-005 6.713246E-016 0.000000E+000
    25     -1   4188 2.850000E-006 2.850000E-006 8.550000E-006 4.861316E-016 0.000000E+000
    26     -1   4175 2.850000E-006 2.850000E-006 4.030509E-006 1.157456E-016 0.000000E+000
    27     -1   4165 3.687778E-005 3.687778E-005 2.850000E-006 2.314912E-017 0.000000E+000
    28   4113      0 2.850000E-006 2.850000E-006 5.700000E-006 2.083421E-016 0.000000E+000
    29     -1   4103 2.850000E-006 2.850000E-006 8.550000E-006 4.398334E-016 0.000000E+000
    30     -1   4069 2.850000E-006 2.850000E-006 5.700000E-006 2.083421E-016 0.000000E+000
    31   4045      0 2.850000E-006 2.850000E-006 1.425000E-005 6.713246E-016 0.000000E+000
    32     -1   4032 1.066372E-005 1.066372E-005 2.850000E-006 2.314912E-017 0.000000E+000
    33   3970      0 2.850000E-006 2.850000E-006 1.710000E-005 8.565176E-016 0.000000E+000
    34     -1   3969 4.778915E-005 4.778915E-005 2.850000E-006 2.314912E-017 0.000000E+000
    35   3962      0 1.231855E-004 1.231855E-004 4.030509E-006 6.944738E-017 0.000000E+000
    36   3961      0 2.356401E-004 2.356401E-004 1.561009E-005 4.861316E-016 0.000000E+000
    37   3959      0 7.354988E-005 7.354988E-005 1.637200E-005 5.555790E-016 0.000000E+000
    38   3957      0 1.345082E-004 1.345082E-004 2.189127E-005 8.565176E-016 0.000000E+000
    39   3952      0 2.850000E-006 2.850000E-006 3.420000E-005 1.597290E-015 0.000000E+000
    40   3951      0 9.648642E-005 9.648642E-005 1.425000E-005 2.314912E-017 0.000000E+000
    41   3945      0 1.324863E-004 1.324863E-004 5.700000E-006 2.083421E-016 0.000000E+000
    42   3938      0 2.850000E-006 2.850000E-006 3.918102E-005 1.597290E-015 0.000000E+000
    43   3934      0 2.850000E-006 2.850000E-006 3.135000E-005 1.597290E-015 0.000000E+000
    44   3933      0 7.336839E-005 7.336839E-005 4.030509E-006 4.629825E-017 0.000000E+000
    45   3932      0 5.728429E-005 5.728429E-005 1.140000E-005 4.861316E-016 0.000000E+000
    46   3922      0 7.930702E-005 7.930702E-005 5.700000E-006 2.314912E-017 0.000000E+000
    47   3921      0 4.639464E-005 4.639464E-005 8.550000E-006 2.314912E-017 0.000000E+000
    48   3920      0 1.981706E-004 1.981706E-004 2.850000E-006 2.314912E-017 0.000000E+000
    49   3903      0 2.850000E-006 2.850000E-006 2.821356E-005 1.319500E-015 0.000000E+000
    50   3890      0 7.486876E-005 7.486876E-005 4.030509E-006 9.259650E-017 0.000000E+000
    51     -1   3884 3.186397E-005 3.186397E-005 6.372794E-006 1.157456E-016 0.000000E+000
