    1     1302        0    1.41775e-004    1.41775e-004    3.74166e-005    1.90000e-014    0.00000e+000
    2       -1     1279    2.98031e-004    2.98031e-004    3.46410e-005    9.00000e-015    0.00000e+000
    3       -1     1278    1.13578e-004    1.13578e-004    2.00000e-005    9.00000e-015    0.00000e+000
    4     1276        0    1.36382e-004    1.36382e-004    5.09902e-005    5.00000e-015    0.00000e+000
    5       -1     1274    1.12250e-004    1.12250e-004    2.00000e-005    9.00000e-015    0.00000e+000
    6       -1     1273    1.00000e-005    1.00000e-005    9.89950e-005    5.70000e-014    0.00000e+000
    7     1269        0    1.04881e-004    1.04881e-004    1.41421e-005    5.00000e-015    0.00000e+000
    8     1266        0    1.28063e-004    1.28063e-004    2.00000e-005    9.00000e-015    0.00000e+000
    9     1260        0    3.96628e-004    3.96628e-004    4.12311e-005    5.00000e-015    0.00000e+000
   10     1259        0    1.00000e-005    1.00000e-005    8.60233e-005    3.70000e-014    0.00000e+000
   11     1258        0    2.27367e-004    2.27367e-004    1.41421e-005    2.00000e-015    0.00000e+000
   12       -1     1249    3.95760e-004    3.95760e-004    1.41421e-005    5.00000e-015    0.00000e+000
   13       -1     1244    4.16670e-004    4.16670e-004    3.00000e-005    1.00000e-015    0.00000e+000
   14     1241        0    3.03487e-004    3.03487e-004    1.00000e-005    1.00000e-015    0.00000e+000
   15     1240        0    1.93084e-004    1.93084e-004    1.00000e-005    1.00000e-015    0.00000e+000
   16     1217        0    2.38255e-004    2.38255e-004    1.00000e-005    1.00000e-015    0.00000e+000
   17     1215        0    9.27362e-005    9.27362e-005    1.41421e-005    4.00000e-015    0.00000e+000
   18     1208        0    1.00000e-005    1.00000e-005    7.87401e-005    4.50000e-014    0.00000e+000
   19     1207        0    1.00000e-005    1.00000e-005    8.00000e-005    4.50000e-014    0.00000e+000
   20     1182        0    2.30744e-004    2.30744e-004    4.00000e-005    2.10000e-014    0.00000e+000
   21       -1     1178    3.47935e-004    3.47935e-004    4.12311e-005    5.00000e-015    0.00000e+000
   22     1173        0    9.27362e-005    9.27362e-005    2.00000e-005    9.00000e-015    0.00000e+000
   23       -1     1168    8.60233e-005    8.60233e-005    1.41421e-005    4.00000e-015    0.00000e+000
   24       -1     1167    1.10905e-004    1.10905e-004    2.00000e-005    9.00000e-015    0.00000e+000
   25       -1     1166    1.30384e-004    1.30384e-004    5.00000e-005    2.90000e-014    0.00000e+000
   26       -1     1165    1.90828e-004    1.90828e-004    2.00000e-005    9.00000e-015    0.00000e+000
   27     1159        0    9.69536e-005    9.69536e-005    3.00000e-005    1.00000e-015    0.00000e+000
   28     1158        0    1.31909e-004    1.31909e-004    5.09902e-005    5.00000e-015    0.00000e+000
   29     1154        0    1.28063e-004    1.28063e-004    3.60555e-005    1.30000e-014    0.00000e+000
   30     1141        0    1.00000e-005    1.00000e-005    7.34847e-005    2.10000e-014    0.00000e+000
   31     1136        0    2.30592e-004    2.30592e-004    1.41421e-005    5.00000e-015    0.00000e+000
   32       -1     1115    2.24053e-004    2.24053e-004    2.00000e-005    1.00000e-015    0.00000e+000
   33       -1     1114    3.64175e-004    3.64175e-004    1.00000e-005    3.00000e-015    0.00000e+000
   34       -1     1107    1.10000e-004    1.10000e-004    1.41421e-005    3.00000e-015    0.00000e+000
   35     1094        0    1.51489e-004    1.51489e-004    2.00000e-005    1.00000e-015    0.00000e+000
   36     1093        0    1.91050e-004    1.91050e-004    6.16441e-005    9.00000e-015    0.00000e+000
   37       -1     1089    9.11043e-005    9.11043e-005    3.00000e-005    1.00000e-015    0.00000e+000
   38       -1     1087    7.28011e-005    7.28011e-005    1.41421e-005    3.00000e-015    0.00000e+000
   39     1076        0    1.00000e-005    1.00000e-005    7.61577e-005    2.90000e-014    0.00000e+000
   40     1075        0    1.22475e-004    1.22475e-004    4.24264e-005    9.00000e-015    0.00000e+000
   41       -1     1065    1.00000e-005    1.00000e-005    7.00000e-005    4.50000e-014    0.00000e+000
   42       -1     1064    1.09545e-004    1.09545e-004    2.00000e-005    9.00000e-015    0.00000e+000
   43     1058        0    1.00000e-005    1.00000e-005    7.00000e-005    4.50000e-014    0.00000e+000
   44       -1     1049    1.00000e-005    1.00000e-005    6.92820e-005    3.70000e-014    0.00000e+000
   45       -1     1044    1.02956e-004    1.02956e-004    2.23607e-005    4.00000e-015    0.00000e+000
   46       -1     1034    1.00000e-005    1.00000e-005    7.00000e-005    4.50000e-014    0.00000e+000
   47       -1     1026    1.51726e-004    1.51726e-004    2.00000e-005    1.00000e-015    0.00000e+000
   48       -1     1025    2.11348e-004    2.11348e-004    1.41421e-005    3.00000e-015    0.00000e+000
   49      977        0    6.78233e-005    6.78233e-005    1.41421e-005    4.00000e-015    0.00000e+000
   50       -1      968    1.00000e-005    1.00000e-005    9.43398e-005    2.50000e-014    0.00000e+000
   51      959        0    1.84116e-004    1.84116e-004    1.41421e-005    5.00000e-015    0.00000e+000
   52      953        0    1.00000e-005    1.00000e-005    6.40312e-005    2.10000e-014    0.00000e+000
   53       -1      947    1.66012e-004    1.66012e-004    3.00000e-005    2.10000e-014    0.00000e+000
   54       -1      920    9.43398e-005    9.43398e-005    3.60555e-005    1.20000e-014    0.00000e+000
   55       -1      914    9.21954e-005    9.21954e-005    4.00000e-005    1.00000e-015    0.00000e+000
   56       -1      910    6.40312e-005    6.40312e-005    1.41421e-005    3.00000e-015    0.00000e+000
   57       -1      909    1.87342e-004    1.87342e-004    1.41421e-005    3.00000e-015    0.00000e+000
