  4576  1.140000E-003  1.140000E-003  1.140000E-003
     1 3.562500E-004 7.723500E-004 6.498000E-004   1	 2888	    0	    0	  232
     2 2.707500E-004 4.303500E-004 4.759500E-004   1	    3	    0	    0	  235
     3 3.049500E-004 5.415000E-004 4.560000E-004   1	    2	    0	    0	  235
     4 9.547500E-004 6.954000E-004 1.881000E-004   1	  264	    0	    0	  237
     5 8.550000E-005 1.057350E-003 7.723500E-004   1	 1430	    0	    0	  243
     6 9.291000E-004 3.961500E-004 3.306000E-004   1	 1807	    0	    0	  245
     7 6.042000E-004 9.547500E-004 4.902000E-004   1	 2712	    0	    0	  250
     8 1.140000E-004 3.249000E-004 8.550000E-006   1	 2357	    0	    0	  261
     9 6.726000E-004 6.241500E-004 8.635500E-004   1	 3879	    0	    0	  262
    10 5.700000E-005 1.131450E-003 8.835000E-005   1	  987	    0	    0	  270
    11 6.127500E-004 2.850000E-005 1.339500E-004   1	   12	    0	    0	  272
    12 5.586000E-004 3.420000E-005 1.339500E-004   1	   11	    0	    0	  272
    13 4.474500E-004 5.415000E-005 3.961500E-004   1	 3881	    0	    0	  273
    14 7.695000E-004 6.697500E-004 1.909500E-004   1	  143	    0	    0	  286
    15 6.811500E-004 1.710000E-004 7.210500E-004   1	 2464	    0	    0	  310
    16 7.581000E-004 1.102950E-003 6.783000E-004   1	 1574	    0	    0	  314
    17 4.075500E-004 6.840000E-004 3.334500E-004   1	 2735	    0	    0	  315
    18 3.562500E-004 3.990000E-004 1.339500E-004   1	 3751	    0	    0	  319
    19 2.365500E-004 9.775500E-004 5.842500E-004   1	 1975	    0	    0	  337
    20 7.695000E-005 9.718500E-004 9.234000E-004   1	 1700	    0	    0	  341
    21 6.099000E-004 2.536500E-004 4.731000E-004   1	 3622	    0	    0	  343
    22 3.705000E-005 1.339500E-004 7.695000E-004   1	 2455	    0	    0	  347
    23 5.614500E-004 4.674000E-004 1.031700E-003   1	 1631	    0	    0	  351
    24 2.422500E-004 9.547500E-004 1.134300E-003   1	 3131	    0	    0	  352
    25 2.764500E-004 1.054500E-004 7.324500E-004   2	 2937	 1597	    0	    0	  285	  355
    26 9.234000E-004 1.088700E-003 4.788000E-004   1	 3460	    0	    0	  356
    27 3.021000E-004 1.995000E-005 3.933000E-004   1	   28	    0	    0	  359
    28 3.591000E-004 5.700000E-006 3.505500E-004   1	   27	    0	    0	  359
    29 7.666500E-004 9.120000E-004 1.795500E-004   2	 2085	  378	    0	    0	  360	  249
    30 8.151000E-004 9.918000E-004 8.692500E-004   1	 1976	    0	    0	  371
    31 2.650500E-004 9.804000E-004 1.966500E-004   1	 3107	    0	    0	  375
    32 7.210500E-004 4.588500E-004 4.617000E-004   1	 3044	    0	    0	  386
    33 9.348000E-004 1.026000E-003 9.148500E-004   1	   34	    0	    0	  391
    34 9.718500E-004 1.028850E-003 9.148500E-004   1	   33	    0	    0	  391
    35 2.850000E-006 8.835000E-004 7.666500E-004   2	   -1	 3439	    1	    0	  221	  392
    36 5.073000E-004 4.560000E-004 9.690000E-004   1	 3925	    0	    0	  397
    37 7.951500E-004 1.624500E-004 7.267500E-004   1	 3647	    0	    0	  400
    38 7.182000E-004 8.493000E-004 2.479500E-004   1	 3018	    0	    0	  409
    39 5.529000E-004 4.474500E-004 6.384000E-004   1	  930	    0	    0	  413
    40 8.265000E-004 7.723500E-004 2.764500E-004   1	  281	    0	    0	  414
    41 1.134300E-003 7.096500E-004 9.291000E-004   2	 3785	    0	    0	    1	  418	  220
    42 6.868500E-004 9.975000E-004 3.135000E-004   1	 3742	    0	    0	  445
    43 1.710000E-005 4.332000E-004 1.020300E-003   2	 3882	   -1	    1	    0	  447	  219
    44 9.006000E-004 2.650500E-004 2.508000E-004   1	  433	    0	    0	  453
    45 2.137500E-004 2.365500E-004 7.182000E-004   1	   46	    0	    0	  465
    46 1.966500E-004 2.223000E-004 7.096500E-004   1	   45	    0	    0	  465
    47 9.718500E-004 4.104000E-004 7.011000E-004   2	 3312	 3116	    0	    0	  431	  476
    48 2.593500E-004 3.847500E-004 1.453500E-004   1	 3232	    0	    0	  504
    49 7.695000E-004 5.187000E-004 8.122500E-004   1	 3603	    0	    0	  509
    50 2.650500E-004 9.946500E-004 2.166000E-004   1	 2462	    0	    0	  514
    51 1.134300E-003 1.054500E-003 7.324500E-004   3	    0	 3920	 3922	    0	    1	  218	  321	  518
    52 8.236500E-004 9.148500E-004 6.555000E-004   1	 1884	    0	    0	  520
    53 4.275000E-005 1.881000E-004 8.236500E-004   1	 2132	    0	    0	  522
    54 1.057350E-003 3.306000E-004 2.451000E-004   1	   55	    0	    0	  527
    55 1.083000E-003 3.135000E-004 2.565000E-004   1	   54	    0	    0	  527
    56 3.192000E-004 4.389000E-004 8.806500E-004   1	  484	    0	    0	  531
    57 7.809000E-004 7.923000E-004 1.567500E-004   1	  254	    0	    0	  536
    58 8.464500E-004 7.410000E-005 1.131450E-003   1	 3134	    0	    0	  537
    59 1.051650E-003 1.008900E-003 5.700000E-005   1	 3938	    0	    0	  541
    60 6.555000E-005 9.376500E-004 9.747000E-004   1	 3040	    0	    0	  542
    61 7.837500E-004 7.125000E-004 2.280000E-004   1	 1157	    0	    0	  544
    62 3.961500E-004 1.995000E-004 5.101500E-004   1	   63	    0	    0	  547
    63 3.619500E-004 2.052000E-004 5.101500E-004   2	 3847	   62	    0	    0	  501	  547
    64 7.923000E-004 8.008500E-004 2.109000E-004   1	  697	    0	    0	  549
    65 1.567500E-004 2.394000E-004 2.992500E-004   1	 2695	    0	    0	  551
    66 8.293500E-004 1.057350E-003 4.275000E-004   1	   67	    0	    0	  552
    67 8.350500E-004 1.077300E-003 4.332000E-004   1	   66	    0	    0	  552
    68 6.555000E-004 4.246500E-004 8.122500E-004   1	 3245	    0	    0	  553
    69 7.894500E-004 2.365500E-004 5.187000E-004   1	 3281	    0	    0	  554
    70 7.837500E-004 7.638000E-004 1.197000E-004   1	 1332	    0	    0	  563
    71 3.049500E-004 1.168500E-004 6.726000E-004   1	 3095	    0	    0	  570
    72 2.821500E-004 9.690000E-005 5.956500E-004   1	  939	    0	    0	  572
    73 5.728500E-004 7.980000E-005 5.785500E-004   1	 2538	    0	    0	  574
    74 3.363000E-004 9.291000E-004 2.394000E-004   1	 3929	    0	    0	  576
    75 9.690000E-005 1.225500E-004 6.868500E-004   1	 1543	    0	    0	  577
    76 1.048800E-003 1.425000E-005 7.125000E-004   1	   77	    0	    0	  579
    77 1.063050E-003 4.560000E-005 7.153500E-004   1	   76	    0	    0	  579
    78 7.096500E-004 4.474500E-004 8.550000E-004   1	   79	    0	    0	  581
    79 7.182000E-004 4.417500E-004 8.436000E-004   1	   78	    0	    0	  581
    80 9.946500E-004 2.394000E-004 1.482000E-004   1	  812	    0	    0	  585
    81 5.415000E-005 3.277500E-004 4.674000E-004   2	 2738	  185	    0	    0	  284	  588
    82 6.270000E-005 3.420000E-004 5.614500E-004   1	 3615	    0	    0	  610
    83 1.083000E-003 8.350500E-004 4.161000E-004   1	 3960	    0	    0	  612
    84 6.640500E-004 9.604500E-004 6.811500E-004   1	 1056	    0	    0	  613
    85 6.555000E-005 2.850000E-004 1.225500E-004   1	 2837	    0	    0	  614
    86 8.350500E-004 9.775500E-004 8.265000E-004   1	   87	    0	    0	  618
    87 8.094000E-004 9.889500E-004 8.236500E-004   1	   86	    0	    0	  618
    88 2.251500E-004 4.987500E-004 9.234000E-004   1	 2046	    0	    0	  628
    89 3.819000E-004 1.114350E-003 2.137500E-004   1	   90	    0	    0	  634
    90 4.018500E-004 1.134300E-003 2.109000E-004   1	   89	    0	    0	  634
    91 9.405000E-005 9.832500E-004 9.376500E-004   1	 1700	    0	    0	  635
    92 6.469500E-004 1.008900E-003 1.767000E-004   1	   93	    0	    0	  636
    93 6.441000E-004 9.832500E-004 1.653000E-004   1	   92	    0	    0	  636
    94 5.044500E-004 1.117200E-003 1.168500E-004   1	 2526	    0	    0	  638
    95 1.653000E-004 8.122500E-004 5.215500E-004   1	   96	    0	    0	  640
    96 1.368000E-004 8.094000E-004 5.244000E-004   1	   95	    0	    0	  640
    97 6.013500E-004 8.892000E-004 7.723500E-004   1	 2136	    0	    0	  643
    98 1.966500E-004 8.863500E-004 1.057350E-003   1	 1860	    0	    0	  647
    99 3.334500E-004 8.635500E-004 4.560000E-005   1	 3778	    0	    0	  648
   100 8.920500E-004 1.068750E-003 8.892000E-004   1	  101	    0	    0	  650
   101 8.863500E-004 1.048800E-003 9.148500E-004   1	  100	    0	    0	  650
   102 8.094000E-004 8.407500E-004 1.031700E-003   2	 3949	 3698	    0	    0	  455	  653
   103 2.422500E-004 8.920500E-004 8.977500E-004   3	 2843	 2372	 2318	    0	    0	  280	  369	  656
   104 5.443500E-004 5.871000E-004 8.550000E-006   1	  105	    0	    0	  658
   105 5.244000E-004 5.785500E-004 2.850000E-006   1	  104	    0	    0	  658
   106 1.738500E-004 5.700000E-006 1.134300E-003   2	 3505	 1082	    0	    0	  290	  659
   107 1.197000E-004 1.128600E-003 7.980000E-005   1	  987	    0	    0	  663
   108 4.474500E-004 1.043100E-003 4.389000E-004   2	  869	 2236	    0	    0	  604	  678
   109 8.464500E-004 5.985000E-004 4.360500E-004   1	  111	    0	    0	  683
   110 7.666500E-004 4.332000E-004 5.700000E-006   1	 1859	    0	    0	  686
   111 8.293500E-004 6.412500E-004 4.503000E-004   2	  112	  109	    0	    0	  690	  683
   112 7.752000E-004 6.612000E-004 4.588500E-004   1	  111	    0	    0	  690
   113 2.479500E-004 9.547500E-004 8.920500E-004   1	 2318	    0	    0	  693
   114 1.653000E-004 9.718500E-004 5.842500E-004   1	 2383	    0	    0	  702
   115 3.648000E-004 1.088700E-003 6.184500E-004   2	 2804	 1792	    0	    0	  708	  677
   116 5.899500E-004 1.048800E-003 1.539000E-004   1	 2983	    0	    0	  725
