3502    2.991638e-003    2.991638e-003    2.991638e-003
    1  3.54e-005  4.51e-004  8.85e-006   1     -1      1      0    426  
    2  1.77e-005  2.97e-003  1.77e-005   1     -1      1      0    425  
    3  1.93e-003  8.85e-006  2.97e-003   0      0      0  
    4  1.61e-003  2.09e-003  7.88e-004   0      0      0  
    5  1.17e-003  2.15e-003  2.35e-003   0      0      0  
    6  2.97e-003  1.87e-003  1.52e-003   1      0      0      1    424  
    7  1.89e-003  1.14e-003  2.91e-003   0      0      0  
    8  2.68e-003  2.27e-003  1.96e-003   0      0      0  
    9  2.14e-003  1.65e-003  3.10e-004   0      0      0  
   10  2.13e-003  1.58e-003  3.10e-004   0      0      0  
   11  8.59e-004  8.85e-006  6.73e-004   0      0      0  
   12  5.22e-004  7.08e-004  1.00e-003   0      0      0  
   13  1.77e-005  2.81e-003  7.08e-005   1     -1      1      0    423  
   14  2.66e-005  1.40e-003  2.12e-003   1     -1      1      0    422  
   15  1.86e-004  1.32e-003  2.77e-003   0      0      0  
   16  1.92e-003  2.70e-003  1.95e-004   0      0      0  
   17  2.97e-003  2.73e-003  5.31e-005   1      0      0      1    421  
   18  2.97e-003  1.02e-003  1.58e-003   1      0      0      1    420  
   19  8.67e-004  2.97e-003  2.97e-003   0      0      0  
   20  7.08e-004  2.92e-003  2.97e-003   0      0      0  
   21  5.93e-004  2.97e-003  1.81e-003   0      0      0  
   22  7.43e-004  2.20e-003  1.30e-003   0      0      0  
   23  1.87e-003  5.75e-004  1.87e-003   0      0      0  
   24  1.94e-003  2.77e-003  6.82e-004   0      0      0  
   25  2.58e-003  1.86e-003  1.72e-003   0      0      0  
   26  1.31e-003  6.55e-004  7.26e-004   0      0      0  
   27  2.12e-003  1.67e-003  2.73e-003   0      0      0  
   28  1.45e-003  6.99e-004  1.43e-003   0      0      0  
   29  1.86e-003  1.64e-003  5.13e-004   0      0      0  
   30  2.74e-004  1.31e-003  1.43e-003   0      0      0  
   31  2.15e-003  1.58e-003  8.76e-004   0      0      0  
   32  1.98e-003  1.92e-003  2.40e-003   0      0      0  
   33  2.46e-003  2.32e-003  2.39e-003   0      0      0  
   34  2.71e-003  2.38e-003  4.78e-004   0      0      0  
   35  1.62e-003  9.47e-004  6.28e-004   0      0      0  
   36  1.89e-003  6.02e-004  6.73e-004   0      0      0  
   37  2.83e-004  2.34e-003  2.71e-003   0      0      0  
   38  2.03e-003  1.67e-003  7.79e-004   0      0      0  
   39  1.48e-003  1.77e-003  1.50e-003   0      0      0  
   40  2.21e-003  8.85e-006  2.36e-003   0      0      0  
   41  2.27e-003  2.97e-003  2.01e-003   0      0      0  
   42  2.30e-003  2.95e-003  1.97e-003   0      0      0  
