14475					
1	1	59	3.12E-05	0.034422	0.000150874
2	1	1859	1.94E-05	0.029293	0.000244252
3	1	238	3.61E-05	0.0326444	0.000136006
4	1	1046	2.38E-05	0.0352731	0.000162195
5	1	1157	3.02E-05	0.0441508	0.000131329
6	2	171	3.27E-05	0.0421934	0.000128955
7	2	51	4.03E-05	0.0155508	0.000124194
8	2	2000	1.19E-05	0.0423977	0.000173246
9	3	279	3.83E-05	0.0295851	9.96E-05
10	3	3736	1.58E-05	0.0366451	0.000272718
11	3	1497	2.30E-05	0.0284645	0.000106092
12	3	126	3.24E-05	0.032294	0.000106311
13	4	589	3.04E-05	0.029291	0.000115163
14	4	1947	2.63E-05	0.0348597	0.000268627
15	4	1419	1.94E-05	0.0248522	0.000183622
16	-1	4	1.38E-05	0.0363141	0.000206542
17	5	44	4.91E-05	0.0321611	0.000139986
18	5	706	1.66E-05	0.0255155	0.000245397
19	5	1284	2.97E-05	0.0294476	0.000138478
20	5	1895	2.64E-05	0.0279048	0.000180063
21	5	5033	1.50E-05	0.0348449	0.000330695
22	5	1564	2.48E-05	0.0314499	0.000210982
23	6	418	5.18E-05	0.0261391	0.000154335
24	6	1464	9.06E-06	0.0339847	0.000253646
25	6	65	3.78E-05	0.0202696	0.000150471
26	6	77	3.78E-05	0.0202696	0.000148772
27	6	2820	3.59E-05	0.0346965	0.000144562
28	1464	6938	1.88E-05	0.0423123	6.21E-05
29	6	6938	2.15E-05	0.0367852	0.000132091
30	7	3034	1.46E-05	0.0302148	0.0001775
31	7	462	3.14E-05	0.0339915	0.000110567
32	7	127	3.00E-05	0.0293127	0.000168328
33	7	522	2.75E-05	0.0442716	0.00010509
34	7	3284	2.24E-05	0.0246088	0.000175582
35	7	2573	2.36E-05	0.0390744	0.000233436
36	7	79	3.57E-05	0.023016	9.58E-05
37	7	4326	1.39E-05	0.0358408	0.000208645
38	7	426	1.40E-05	0.0338352	0.000192994
39	8	3754	1.50E-05	0.0392147	0.000177495
40	8	2301	2.43E-05	0.0281494	0.000185792
41	8	848	2.97E-05	0.0222522	0.000211197
42	8	839	4.11E-05	0.0465468	0.000170168
43	8	1528	2.92E-05	0.0402968	0.000193478
44	8	114	4.34E-05	0.0283801	0.000148913
45	8	63	3.41E-05	0.0324399	0.000369077
46	9	4109	2.48E-05	0.0349699	9.95E-05
47	9	748	2.47E-05	0.0323773	0.00022413
48	9	2439	1.97E-05	0.0290293	0.000157604
49	9	485	1.28E-05	0.0264461	0.000237985
50	485	6939	2.73E-05	0.0213246	4.60E-05
51	9	6939	3.55E-05	0.0227901	0.000144948
52	9	4057	1.07E-05	0.0374552	0.000292655
53	10	418	4.72E-05	0.0139017	0.00021184
54	10	2174	1.71E-05	0.0224076	0.000131939
55	10	3561	1.77E-05	0.0318733	0.000225486
56	11	1149	4.44E-05	0.0446512	0.000129584
57	11	470	3.44E-05	0.0310329	0.000148647
58	11	545	2.76E-05	0.0323828	0.000194497
59	11	21	4.54E-05	0.0330774	0.000139711
60	11	2275	2.67E-05	0.0248778	0.000187395
61	12	585	2.76E-05	0.0456975	0.000105748
