7818
    1       -1     3122    8.60717e-006    3.19475e-002    1.73205e-005
    2     3120        0    7.02701e-006    3.74466e-002    5.41421e-005
    3       -1     3116    3.02745e-006    4.06490e-002    1.00000e-005
    4     3109        0    2.95766e-006    3.19981e-002    1.00000e-005
    5       -1     3102    1.22583e-005    3.21797e-002    1.11803e-004
    6       -1     3093    1.94175e-005    3.45024e-002    9.21954e-005
    7       -1     3092    8.03827e-005    3.39949e-002    1.00000e-005
    8       -1     3084    3.29818e-006    3.51659e-002    1.87758e-004
    9     3083        0    6.66300e-005    2.93415e-002    1.00000e-005
   10     3082        0    7.64610e-005    1.61201e-002    1.00000e-005
   11       -1     3077    1.73317e-006    4.00340e-002    2.32611e-004
   12       -1     3076    6.65020e-005    2.84970e-002    1.00000e-005
   13     3075        0    4.81901e-006    2.68508e-002    2.37628e-004
   14       -1     3068    3.26988e-005    3.21468e-002    2.10224e-004
   15       -1     3039    6.50038e-005    3.49692e-002    1.00000e-005
   16       -1     3038    4.81689e-005    2.42492e-002    1.20831e-004
   17     3031        0    2.84732e-005    4.05121e-002    9.94987e-005
   18     3030        0    7.88612e-005    2.90875e-002    1.00000e-005
   19       -1     3029    6.48880e-005    2.64238e-002    1.00000e-005
   20       -1     3003    1.69604e-005    3.35489e-002    1.87063e-004
   21     2993        0    1.25890e-005    2.14107e-002    1.68313e-004
   22     2992        0    2.99507e-005    2.94803e-002    1.88184e-004
   23     2983        0    5.92966e-005    2.61261e-002    1.00000e-005
   24       -1     2966    1.28836e-005    3.45526e-002    2.89199e-004
   25       -1     2964    4.11692e-006    1.95715e-002    1.45120e-004
   26       -1     2947    2.68457e-005    3.63987e-002    3.31846e-004
   27     2919        0    2.20438e-005    3.49161e-002    8.12404e-005
   28     2914        0    5.86125e-005    3.17355e-002    1.00000e-005
   29     2913        0    1.05276e-005    2.75299e-002    8.00000e-005
   30       -1     2899    5.26488e-005    3.75987e-002    1.00000e-005
   31       -1     2897    3.53298e-005    3.71974e-002    9.69536e-005
   32     2890        0    5.65366e-005    3.51521e-002    1.00000e-005
   33     2889        0    7.15856e-006    2.78669e-002    2.21984e-004
   34     2887        0    1.42916e-005    1.90604e-002    2.37627e-004
   35     2886        0    2.76481e-005    3.57922e-002    1.00995e-004
   36     2885        0    6.01829e-006    3.98701e-002    1.42195e-004
   37       -1     2871    1.87915e-005    3.82201e-002    1.61750e-004
   38     2869        0    5.86171e-005    3.82525e-002    1.00000e-005
